first.name,gender,conf,num.samples
tara,female,0.99,1098.0
taria,female,1.00,3.0
team,None,0.0,0.0
teb,male,1.00,1.0
technology,None,0.0,0.0
ted,male,1.00,376.0
terence,male,1.00,146.0
teresa,female,1.00,1631.0
teri,female,1.00,232.0
terri,female,1.00,572.0
terrie,female,1.00,101.0
terry,male,0.78,1429.0
teruo,None,0.0,0.0
tess,female,0.99,146.0
thane,male,1.00,5.0
tharsilla,None,0.0,0.0
theresa,female,1.00,834.0
therese,female,1.00,333.0
thestreet,None,0.0,0.0
thomas,male,1.00,3753.0
thu,female,0.83,48.0
tiffany,female,1.00,1466.0
tim,male,0.99,2949.0
timothy,male,1.00,809.0
tina,female,1.00,2195.0
tobias,male,1.00,352.0
tobin,male,0.57,7.0
toby,male,0.88,312.0
todd,male,1.00,847.0
tom,male,1.00,3736.0
tomas,male,0.99,848.0
tommy,male,0.99,979.0
tonai,None,0.0,0.0
toni,female,0.63,992.0
tony,male,1.00,3071.0
tori,female,0.98,347.0
torrey,female,0.60,5.0
tracey,female,0.99,1051.0
traci,female,1.00,246.0
tracy,female,0.95,1709.0
transportation,None,0.0,0.0
travis,male,1.00,985.0
treasa,female,1.00,6.0
trena,female,1.00,12.0
trevor,male,1.00,758.0
trey,male,0.99,165.0
trish,female,1.00,373.0
troy,male,1.00,588.0
truong,male,0.77,22.0
tushar,male,1.00,77.0
twanda,female,0.80,5.0
tyler,male,0.98,1497.0
tyrell,male,0.96,24.0
ursula,female,1.00,178.0
utiliconnews,None,0.0,0.0
valarie,female,1.00,39.0
valerie,female,1.00,1380.0
vance,male,1.00,35.0
vanessa,female,1.00,2704.0
vasant,male,1.00,5.0
vernesia,None,0.0,0.0
vernon,male,1.00,66.0
veronica,female,1.00,1970.0
vicki,female,1.00,708.0
victor,male,1.00,2244.0
victoria,female,1.00,1879.0
vijay,male,0.98,319.0
vikas,male,1.00,106.0
vikram,male,1.00,176.0
vincent,male,1.00,1424.0
