first.name,gender,conf,num.samples
ernie,male,0.94,97.0
errol,male,1.00,42.0
esmeralda,female,1.00,148.0
esther,female,1.00,930.0
etelvina,female,1.00,3.0
ets,None,0.0,0.0
eugenio,male,1.00,153.0
eva,female,1.00,1715.0
evan,male,0.97,657.0
eve,female,0.99,329.0
evelyn,female,1.00,754.0
exchange,None,0.0,0.0
exec,None,0.0,0.0
executive,None,0.0,0.0
fabian,male,0.99,689.0
faith,female,0.98,261.0
felecia,female,1.00,19.0
felicia,female,0.99,351.0
fernley,None,0.0,0.0
fiona,female,1.00,926.0
fletcher,male,1.00,15.0
forrest,male,0.98,54.0
foster,male,0.88,16.0
fraisy,None,0.0,0.0
fran,female,0.61,581.0
francis,male,0.89,680.0
francisco,male,1.00,1513.0
frank,male,1.00,1565.0
franky,male,0.98,51.0
frazier,female,0.50,2.0
fred,male,0.98,966.0
gail,female,1.00,814.0
ganapathy,male,1.00,2.0
gareth,male,0.97,475.0
garrett,male,1.00,293.0
garrick,male,1.00,14.0
garth,male,1.00,51.0
gary,male,1.00,2132.0
gautam,male,1.00,70.0
gavin,male,1.00,519.0
gay,female,0.96,26.0
gaynel,None,0.0,0.0
geir,male,1.00,96.0
gene,male,0.89,249.0
general,male,1.00,1.0
geneva,female,1.00,24.0
genia,female,1.00,4.0
geoff,male,0.99,426.0
georganne,female,1.00,5.0
george,male,0.99,2098.0
georgeanne,female,1.00,1.0
georgene,female,1.00,1.0
georgi,male,0.71,56.0
georgia,female,0.99,397.0
gerald,male,0.99,429.0
geriann,None,0.0,0.0
gerri,female,0.95,57.0
gerry,male,0.86,249.0
geynille,None,0.0,0.0
gillian,female,0.99,440.0
gina,female,1.00,1320.0
ginger,female,0.98,243.0
glen,male,0.98,409.0
glenda,female,1.00,275.0
gloria,female,1.00,1188.0
gordon,male,1.00,416.0
gpg,None,0.0,0.0
grace,female,0.99,1125.0
gracie,female,1.00,54.0
grant,male,1.00,592.0
greek,None,0.0,0.0
greg,male,1.00,1854.0
gregg,male,0.99,194.0
gregory,male,1.00,722.0
gretchen,female,1.00,198.0
griff,male,1.00,1.0
guillermo,male,1.00,850.0
gus,male,0.98,165.0
gwendolyn,female,1.00,55.0
gwyn,male,0.79,14.0
hai,male,0.84,45.0
hal,male,0.97,96.0
hap,male,0.60,5.0
hardie,male,1.00,2.0
harlan,male,1.00,13.0
harry,male,0.99,844.0
hasan,male,0.99,923.0
health,None,0.0,0.0
heath,male,0.97,79.0
heather,female,1.00,3220.0
hector,male,1.00,1112.0
heidi,female,1.00,1211.0
helpdesk,None,0.0,0.0
henning,male,1.00,77.0
henry,male,1.00,1067.0
herman,male,0.99,119.0
hoang,male,0.59,61.0
holden,male,0.94,32.0
holger,male,1.00,44.0
holli,female,1.00,63.0
hollis,female,0.55,11.0
holly,female,0.99,1178.0
homer,male,1.00,27.0
hope,female,0.98,236.0
hotdeals,None,0.0,0.0
howard,male,0.96,296.0
howton,None,0.0,0.0
hunter,male,0.96,289.0
huy,male,1.00,40.0
ian,male,0.99,2159.0
ibuyit,None,0.0,0.0
iexpect,None,0.0,0.0
ilan,male,0.97,34.0
imelda,female,1.00,60.0
ina,female,0.98,194.0
information,None,0.0,0.0
infrastructure,None,0.0,0.0
ingrid,female,1.00,813.0
inja,None,0.0,0.0
iona,female,1.00,32.0
irena,female,0.99,138.0
iris,female,0.99,576.0
irma,female,1.00,298.0
isabel,female,1.00,1094.0
isc,male,1.00,1.0
jack,male,0.99,1993.0
jackie,female,0.95,1453.0
jackson,male,0.98,178.0
jacqueline,female,1.00,1016.0
jad,male,0.98,59.0
jae,male,0.58,90.0
jaime,male,0.68,1247.0
jake,male,0.99,1410.0
jaki_l,None,0.0,0.0
james,male,0.99,6359.0
jami,female,0.85,99.0
jamie,male,0.53,2428.0
jan,male,0.60,1692.0
jana,female,0.99,601.0
jane,female,0.99,1796.0
janel,female,0.95,21.0
janelle,female,1.00,244.0
janet,female,1.00,1579.0
janette,female,0.99,174.0
janice,female,1.00,1052.0
janine,female,1.00,397.0
jared,male,1.00,667.0
jarek,male,1.00,30.0
jarrod,male,1.00,127.0
jason,male,1.00,4927.0
javier,male,1.00,1975.0
jay,male,0.90,1882.0
jayshree,female,1.00,20.0
jbrewer,None,0.0,0.0
jean,female,0.53,1523.0
jeanette,female,1.00,492.0
jeanie,female,1.00,67.0
jeanne,female,1.00,449.0
jeannie,female,1.00,180.0
jeb,male,1.00,19.0
jeff,male,1.00,2925.0
jefferson,male,1.00,127.0
jeffery,male,1.00,148.0
jeffrey,male,1.00,932.0
jennifer,female,1.00,6717.0
jenny,female,1.00,2899.0
jeremy,male,0.99,2160.0
jerry,male,0.98,1031.0
jesse,male,0.93,1095.0
jessica,female,1.00,6696.0
jesus,male,0.99,1380.0
jez,male,0.96,26.0
jill,female,1.00,1335.0
jim,male,1.00,2291.0
jimmy,male,1.00,1416.0
jinsung,None,0.0,0.0
joan,female,0.82,1017.0
joana,female,0.99,257.0
joann,female,0.99,234.0
joanne,female,1.00,1488.0
joannie,female,1.00,16.0
jodie,female,1.00,520.0
jody,female,0.69,457.0
joe,male,0.98,3713.0
joel,male,0.99,1472.0
joey,male,0.80,865.0
john,male,0.99,9931.0
johnny,male,0.99,955.0
jon,male,1.00,1805.0
jonathan,male,1.00,3702.0
joni,female,0.51,192.0
jordan,male,0.77,1774.0
jorge,male,1.00,3183.0
jose,male,0.99,5109.0
joseph,male,0.99,2213.0
josie,female,1.00,251.0
joya,female,1.00,7.0
joyce,female,0.97,1089.0
juan,male,0.99,4584.0
jubran,male,1.00,2.0
judy,female,1.00,1375.0
julia,female,0.99,2171.0
juliann,female,1.00,11.0
julianna,female,0.98,52.0
julie,female,1.00,4263.0
julissa,female,1.00,51.0
justin,male,1.00,2871.0
kal,male,0.89,35.0
kalen,male,0.63,16.0
kam,female,0.61,80.0
kara,female,0.95,518.0
karen,female,1.00,5462.0
kari,female,0.91,468.0
karima,female,1.00,69.0
karolyn,female,1.00,7.0
kassandra,female,1.00,43.0
kate,female,0.99,2254.0
katherine,female,1.00,1414.0
kathie,female,1.00,86.0
kathleen,female,1.00,972.0
kathryn,female,1.00,827.0
kathy,female,1.00,2220.0
katie,female,1.00,3741.0
katrina,female,1.00,729.0
kay,female,0.88,709.0
kaye,female,0.95,165.0
kayla,female,1.00,1090.0
kayne,male,0.80,5.0
keegan,male,0.69,93.0
keith,male,0.99,1417.0
kelli,female,1.00,347.0
kelly,female,0.94,3831.0
ken,male,0.99,1435.0
kenneth,male,1.00,1020.0
kenny,male,0.98,665.0
kent,male,1.00,297.0
kerri,female,1.00,236.0
kerry,female,0.88,943.0
kevin,male,1.00,5362.0
khymberly,None,0.0,0.0
kikumi,female,1.00,1.0
kim,female,0.88,3561.0
kimat,None,0.0,0.0
kimberlee,female,1.00,50.0
kimberley,female,1.00,306.0
kimberly,female,1.00,1717.0
kingwoodcove,None,0.0,0.0
kirk,male,1.00,280.0
kirstee,None,0.0,0.0
kit,male,0.52,149.0
kohn,None,0.0,0.0
kori,female,0.82,39.0
kortney,female,1.00,13.0
kourtney,female,0.95,43.0
krishna,male,0.71,194.0
kristen,female,1.00,1160.0
kristian,male,0.94,379.0
kristin,female,1.00,1047.0
kroum,None,0.0,0.0
kulvinder,female,0.67,6.0
kurt,male,1.00,421.0
kyle,male,0.99,1944.0
kysa,female,1.00,2.0
lacye,None,0.0,0.0
laine,female,0.67,18.0
